region,location_name,rating,review_text,source
Wilayah Bali Utara,Kebun Raya,5,"Udaranya adem sejuk, hijau semua di depan mata, cocok utk piknik, outbound, hiling dan hilang sebentar. Cuman pas BBQan diserbu lalat banyak bgt, mungkin pas musimnya.

Tidak pernah bosan utk ke sini",Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,Great experience. Just make sure not to visit during rainy season,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,Dingin,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,"Sedari kecil selalu seneng ke tempat ini, masih asri dan harapanya selalu asri untuk kedepanya. Satu note untuk pengelola, mungkin jalan bisa lebih diperbaiki karena cukup banyak yang berlubang",Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,"Изумительное место, огромная и ухоженная территория, из-за особенности расположения тут не жарко.
Сколько бы не было людей все как то разбредаются по территории и очень спокойно и тихо.
Вход на двоих нам обошёлся в 40 000 + парковка.",Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,4,Peaceful and oxygen-rich - but I prefer the real jungly forests all around Bali,Google Maps
Wilayah Bali Utara,Kebun Raya,5,"This park is wonderful, truly large and spacious, full of interesting species of plants, trees and animals, quiet, and tremendously beautiful. We've been here a couple of times as we live far south of Bali. Our 1.5-year-old puppy loves the park over the moon! It isn't a must-visit for everyone, as many tourists want to see this full-throttle essence of Bali, which this park is not. It is more about nature, peace, calmness, and sweet moments, such as sitting on the grass surrounded by gigantic trees and seeing mountains and a volcanic lake. But if you love parks, forests, views, picturesque spaces, cooler temperatures, fresh air, and long walks, this place is perfect for 2 hours or half a day. Amazing!",Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,4,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,Absolutely gorgeous and worth the drive to visit this tropical garden,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,4,Sangat luas dan banyak spot foto dan bersantai. Udara sejuk. Namun pengelola buruk. Toilet sangat kurang terawat. Pelayan kurang ramah terutama di tempat penyewaan scooter/sepeda. Kalau lebih dikelola dengan baik dan fasilitas diperhatikan bakal jadi tempat wisata paling recomended di bali,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,"Amazing place to visit for picnic, nice weather and epic landscape view.",Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,"Stunning views, must visit place",Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,Sejuk asri,Google Maps
Wilayah Bali Utara,Kebun Raya,3,Pengecekan security nya terlalu berlebihan masak ngecek sampai ke kursi penumpang yg ditengah..kayaknya kurang sopan saya lihat caranya...cukup ceknya dibelakang aja SDH cukup menurut saya,Google Maps
Wilayah Bali Utara,Kebun Raya,5,Keren,Google Maps
Wilayah Bali Utara,Kebun Raya,5,Beautiful green and clean place with fresh air. Perfect for a walk or to calm down... Even when I've been here often I discover something new every time.,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,4,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,3,Nothing special,Google Maps
Wilayah Bali Utara,Kebun Raya,2,"Der Park ist leider total veraltet. Der Kakteengarten ist toll, hergerichtet, der Ficus Baum sehr attraktiv. Der Rest leider sehr sehr veraltet und nicht empfehlenswert.",Google Maps
Wilayah Bali Utara,Kebun Raya,4,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,3,,Google Maps
Wilayah Bali Utara,Kebun Raya,1,"tempat nya bagus dan indah
tetapi sepedanya buluk jelek gak layak pakai tolong perbarui sepeda disana apalagi temen saya menabrak orang hingga tangan nya patah.rem sepadanya blong habis itu rodanya geol geol jelek banget dah sepeda nya",Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,Endroit paisible,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,4,tempat santai udaranya sejuk,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,Tempat liburan yang sangt bagus selain pantai di bali,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,2,"yg jaga disewa sepedanya gak ramah bangett, didepan customer bilang ""naskleng"" ""cicing"" walaupun lagi ngobrol sama temennya, tpi kesannya gak sopan mana keras banget ngomongnya, dan pas ditanya pun jawabannya ketus bangett anj",Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,Bedugul yang sekarang makin berkembang ya ada satel busnya dan penyewaan sepeda listrik trus yang ngajak anak-anak jangan khawatir kelaperan karena ada stand-stand makanan disana,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,4,"Untuk weekdays tidak diperbolehkan membawa mobil ke dalam Kebun, untuk weekend diperbolehkan membawa mobil ke dalam kebun, untuk weekdays guest dialihkan untuk menggunakan shuttle yg sudah mereka siapkan, dengan sistem berbayar, dan didalam kebun sudah ada tenant makanan jdi tidak perlu bingung mencari makanan saat dikebun.
Untuk kebersihan terjaminn bersih.",Google Maps
Wilayah Bali Utara,Kebun Raya,5,Bagusss,Google Maps
Wilayah Bali Utara,Kebun Raya,5,"Tempat refresing yang menyenangkan, akan lebih indahnya mohon untuk memperbaiki jalan yang rusak.",Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,3,"Harusnya bukan kompor yng kena biaya tambahan, tp yng bawa speaker nyetelnya kenceng2,, gak smua orang seneng denger suara fals,,
Pengen tenang nyantai ada rombongan bawa speaker kenceng dtng, terpaksa pindah k tempat yng lebih tenang",Google Maps
Wilayah Bali Utara,Kebun Raya,4,,Google Maps
Wilayah Bali Utara,Kebun Raya,3,"Оценка 3 звезды включает в себя крайнее неудовлетворение качеством велосипедов - это тихий ужас. Стоимость 35к в час, при этом на велосипеде просто нереально подняться в гору, не работают переключатели скоростей, пришлось около часа таскать велосипед с собой. По-хорошему стоимость этой услуги (-35), то есть вам должны заплатить за то, что вы тащите за собой ржавый и древний байк, которому лет столько же, сколько этому парку. Пожалуйста, не позорьтесь и замените велопарк, текущие варианты нужно выкинуть или сдать в металлолом.

Сам по себе парк отличный и виды шикарные, особенно вид на озеро.",Google Maps
Wilayah Bali Utara,Kebun Raya,5,Самое красивое место что я видел на Бали советую приезжать в 8:00 пораньше и взять электрический байк в аренду внутри на час проехать весь парк на нем и потом ещё пройтись пешком часок байки стоят на 25 мая 2025 года 75к за час :),Google Maps
Wilayah Bali Utara,Kebun Raya,5,Great place to visit with fantastic gardens and views. Would probably need about 2 days to see everything. Good maps to guide you.,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,"Sejuk dan nyaman, pemandangan danau yg indah",Google Maps
Wilayah Bali Utara,Kebun Raya,5,Amazing place to get some silence and have a nice walk.The nature there is amazing.Go during the week as the week-end this is packed.,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,One of the best place lah pokoknya kalau mau picnik santai bareng keluarga cuma pas musim liburan datang pastinya disini rame banget kurang enak bagusan pas low season atau weekday atau weekend yg ndk barengan sama hari libur besar,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,1,"Als toerist hadden wij hoge verwachtingen, helaas. De Botanische tuin viel enorm tegen. Veel mensen waren aan het picknicken. De meeste planten zagen er slecht en onverzorgd uit. Ik zou hier zeker niet nogmaals naartoe gaan.",Google Maps
Wilayah Bali Utara,Kebun Raya,1,"Kebun raya sekarang ini merupakan trap bagi warga lokal yang mau sekedar berlibur dan piknik di sana. Segala barang bawaan anda akan di charge. Saat weekdays mobil tidak boleh masuk dan anda harus naik shuttle seharga 30 ribu per orang yang hanya mengantarkan anda ke satu destinasi dan menjemput anda kembali. Aturan yang paling lucu, jika anda membawa nasi bungkus/nasi kotak anda akan dikenakan charge 10 ribu per bungkus/kotak. Staff manager di sana bilang, kebun raya mencharge barang barang/fasilitas jasa yang mereka jual. Membawa Sepeda dan sepeda listrik pun sekarang di charge. Semua perusahaan memang berhak memiliki aturan masing masing. Tapi aturannya yg diterapkan kebun raya saat ini seperti memeras pengunjung dan hanya ingin keuntungan cepat. Destinasi wisata yang sudah lama sudah bukan untuk masyarakat Bali lagi sekarang.
Lebih baik hindari tempat ini. Aturannya memberatkan dan sungguh di luar nalar",Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,Beautiful experience,Google Maps
Wilayah Bali Utara,Kebun Raya,5,Recomended buat liburan bersama keluarga ☺,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,Tempat untuk piknik terbaik dibaliluas dan bisa keliling kebun pake mobil pribadi.agak masuk kedalem hutan untuk cari view danaunya.cm kalau weekend lumayan antre dipintu masuknya.dan cuaca jg kadang bisa hujan tiba2.,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,4,Will be back again,Google Maps
Wilayah Bali Utara,Kebun Raya,5,"tempat yang cocok untuk bersantai dg menikmati alam
sekarang untuk tiket masuknya mobil 30.000, dan tiket dewasa 25.500/org
jika ingin kesana mungkin disarankan naik kendaraan roda 4, karena jika dengan kendaraan roda 2 akses jalan lumayan jauh, tetapi disana juga menyediakan sewa sepeda jadi mempermudah akses untuk keliling disana
saran untuk perawatan hutan pinus lebih diperhatikan lagi, dan akses jalan menuju pemandangan danau diperbanyak tanda panah agar tidak kebingungan, karena akses lumayan jauh",Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,"Tempat nya sejuk,nyaman pokonya keren kalau liburan ke sana. Tiket masuk Rp 25.500 sudah bisa kliling semua tapi karna sdah hampir hujan jadi ngak sempat ke spot foto yang lain",Google Maps
Wilayah Bali Utara,Kebun Raya,4,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,Bagus sekali,Google Maps
Wilayah Bali Utara,Kebun Raya,5,apakah rombongan dengan memakai bis besar bisa masuk untuk rute menuju kebun raya dan tersedia kah parkir bisnya..?,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,Enak sejuuk bagus tempatnyaa,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,"Udah lama banget gak ke kebun raya bedugul, hebat ya pemerintahnya daerah sana kondisinya masih tergolong sejuk, bersih, nyaman dan aman. untuk area pasarnya pun tergolong bersih dan tertata.
pasti bakal balik kesini lagi",Google Maps
Wilayah Bali Utara,Kebun Raya,5,Tempatnya sejuk....udara segar jauh dari kebisingan... good place for healing,Google Maps
Wilayah Bali Utara,Kebun Raya,5,Kebun Raya yg indah.,Google Maps
Wilayah Bali Utara,Kebun Raya,5,"Je recommande, paisible pour se balader et ça change des attrapes touristes.",Google Maps
Wilayah Bali Utara,Kebun Raya,5,Udara yang sejuk dan tempat yg sangat bagus untuk bersantai bersama keluarga,Google Maps
Wilayah Bali Utara,Kebun Raya,5,"Хорошее место для посещения, особенно если окажителс в этих краях. Большая территория с частью тропического леса. Есть возможность арендовать велосипед или электросамокат. На территории есть кафе где можно перекусить. Стоимость небольшая и можно отлично провести 2 ~3 часа жизни в красивом месте .",Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,Maybe the best place in KL. Very quiet but wildlife was great,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,4,seperti swiss,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,Cocok jadi tempat buat bermalas malasan,Google Maps
Wilayah Bali Utara,Kebun Raya,5,"Bagus asri, spot foto banyak, bisa main dan piknik",Google Maps
Wilayah Bali Utara,Kebun Raya,5,Good,Google Maps
Wilayah Bali Utara,Kebun Raya,5,"Saran penting, mending sewa kendaraan deh, entah itu sepeda listrik, sepeda biasa, atau mobil kayak odong-odong yang bisa dipakek bareng-bareng itu. Kalo maksa jalan kaki, siap-siap capek maksimal dan cuma bisa njangkau beberapa spot doang. Karena kebun raya ini lokasinya luaaaaasss banget, ya.

Tiket masuk 51 rb buat 2 orang dewasa dan 1 anak-anak usia 3 tahun. Spot ada buanyak, mulai patung keren-keren tuh, trus ada rumah kaca botani, danau, dsb. Atau kalo males keliling, bisa rebahan di rerumputan hijau di bawah pohon-pohon. Luas banget, seluas lapangan golf deh kayaknya. Kalo mau jajan, ada warung-warung pedagang di area parkir.",Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,4,"Didn’t expect the garden to be this big! In the entrance, you can rent bicycles, motors & even a golf cart. The bicycles were rusty and not usable so we opted for the golf cart which made the experience fun (250k/h). I strongly advise you to rent some form of transportation if you don’t want to walk for 3h doing the whole tour.

When we went most of the flowers were not blooming so that was slightly disappointing. The big Ficus tree is impressive.
A lot of spots for picnic",Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,3,"Tempatnya luas, tapi perlu ditambah gazebo/pendapa buat berteduh pas hujan. Cmn pas hujan aja si kurang nyaman, terus beberapa titik bnyk sampah, bisa diperbanyak tempat sampahnya. Security loketnya ramah poin plusnya. Minus lagi tanaman-tanaman untuk visual keliatan kurang terawat, bnyk tanah jg yg ga diratain, pavingnya jarang di sikat jadi kalau hujan licin, alhasil jalan dirumput.",Google Maps
Wilayah Bali Utara,Kebun Raya,5,"tempat healing
udara nya sejuk dan bersih",Google Maps
Wilayah Bali Utara,Kebun Raya,5,Bagus,Google Maps
Wilayah Bali Utara,Kebun Raya,5,"Seru banget piknik disini, pemandangan asri dan hijau. Tiket masuk saat weekend 25 ribu per orang tapi kalo mau naik shuttle bus tiketnya jadi 40 ribu per orang. Piknik santai sambil rebahan dan semilir angin itu perpaduan yang sempurna",Google Maps
Wilayah Bali Utara,Kebun Raya,5,di ajak liburan bersama TIM,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,Cobalah,Google Maps
Wilayah Bali Utara,Kebun Raya,5,"Selalu pengen kesini kalau lagi jenuh di daerah denpasar. Suasananya sejuk banget, sekarang udah banyak wahana yang bisa dicobain. Cuman sayang banget kalau naik motor harus parkir di bawah, kalau mau naik jadi jauh banget tapi suasananya sejuk banget dan nggak gagal untuk refreshing",Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,Mantap,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,4,Traffic was bad at the ticket entrance on the weekend. It need a better system. Perhaps the ticket person goes to the car to make it quicker.,Google Maps
Wilayah Bali Utara,Kebun Raya,4,"Un sitio muy agradable si te gustan las plantas, El bosque superior es muy bonito y la colección de Begonias muy nos gustó especialmente.

Los baños tremendamente sucios.",Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,Suka dengan pemandangan yang indah,Google Maps
Wilayah Bali Utara,Kebun Raya,4,War schön. Großes Areal. Scouter ausleihen oder Fahrrad. Zeit mitnehmen ist sehr weitläufig.,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,4,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,"I was surprised that Bali Botanical Garden isn’t crowded at all. This place is magical, with hills overlooking Beratan Lake and mountains across. If I were you, I would pack my picnic baskets, grab my family, head to Bali Botanical Garden’s fields and create memories that will last. Plus, entry fee is cheap",Google Maps
Wilayah Bali Utara,Kebun Raya,5,very beautiful place for walking❤️,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,4,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,Terlengkap,Google Maps
Wilayah Bali Utara,Kebun Raya,3,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,"Tempat sejuk, adem, cocok untuk family time",Google Maps
Wilayah Bali Utara,Kebun Raya,4,"Spent 1.5hrs here and rented an electric scooter for 75,000idr per hour.

Highly recommend renting a bike or scooter as the botanical garden is quite large and I would estimate at least 6 hours walking to cover it all, if not more.

The highlight of these gardens was riding from point to point. The trees and greenery were so vast and gorgeous. However that's really about it. I didn't find much in the way of flowers and any real variety aside from the amazing trees alongside the road.

There were more than a couple dilapidated buildings that collapsed due to lack of maintenance in what looked like promosing little museums.

After seeing the botanical gardens in a few countries around the world, this one in Bali is very underwhelming in comparison. Set your expectations for a 3rd-world equivalent experience and you'll be fine.

Cruising through on an E-scooter is my  recommendation. It was still enjoyable and worthy of a visit.",Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,Incredible! And very secluded on a Tuesday.,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,"A must in Bedugul. Wonderfull place. Can go walking maybe 5 to 7km, bicycle or in their transport.",Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,2,"Area is huge with some nice view spots but aside from a whole lot of open fields and grass, it's really not well maintained.

One of the bikes we rented had faulty brakes, which we only found out later on going down a slope and could have been seriously injured.",Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,1,"Saran saya untuk soundsystem mohon untuk dilarang atau diatur regulasinya. Contohnya boleh untuk menghantarkan acara saja/MC, jangan menghidupkan lagu kencang2 apalagi karaoke. Kita ke kebun raya untuk healing malah dikasi polusi suara.
Untuk event mungkin bisa ditempatkan khusus, apalagi orang2 yg tidak izin buat event tapi datengnya sampai 100 orang rombongan. Saya dan beberapa keluarga lain di usir saat mau piknik. Padahal haknya sama bayarnya sama, malah kami yg duluan sampai. Rombonganya belum datang tapi sudah ada satu dua orangnya yg tag tempat.
Dateng mau healing malah stress ini.
Atau boleh tiketnya di mahalin lagi, biar pengunjung yg dateng terfilter, ga banyak yg kampungan gini. Ga punya sopan santun dan empati. Kayak di rumah sendiri aja bukan di tempat wisata.",Google Maps
Wilayah Bali Utara,Kebun Raya,5,"Udaranya sejuk banget, cocok buat yang butuh ketenangan. Bisa di antar jemput juga sampai ke atas pake shuttle bus.",Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,3,"I had visited many Botanical Gardens all over. This is absolutely not properly maintained. Be mindful this place is huge and considering there are not many toilets around, making it worst some are ""closed"". Plan your toilet-break properly.
Rose and Orchid gardens were really pathetic, no effort put in at all to sure plants are healthy and blooming with flowers. Catus garden features a varieties of spices, not too bad.
It was a disappointment and let down for me.
Seriously not worth visiting unless you have extra time to kill",Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,4,Areanya luas tapi tidak terawat baik.,Google Maps
Wilayah Bali Utara,Kebun Raya,5,Bagus dan sangat cocok buat anak2 ke sini,Google Maps
Wilayah Bali Utara,Kebun Raya,5,Pelayanan baik,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,"Sukaaaaaa sekali ingin kembali kesana.
Buat jalan kaki, naik sepeda dll sangat rekomended. Hutan yg ditata indah sekali. Udara yg sejuk sangat mendukung buat wisata disana bersama keluarga",Google Maps
Wilayah Bali Utara,Kebun Raya,4,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,4,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,,Google Maps
Wilayah Bali Utara,Kebun Raya,5,Sangat menarik menyenangkan pernah di kunjukin TXT,Google Maps
